company_name,company_url,company_website_url,location,tags,founding_date,founders,employee_range,urls,emails,phones,description_short,description
Salary Board,https://e27.co/startups/salary-board/,http://www.salaryboard.com/,Singapore,"Big Data, Human Resources",2015-10-01,,13,https://www.facebook.com/salaryboard/https://www.linkedin.com/company/salary-board,,,Salary Board allows professionals in SE Asia to research and compare market ,"Salary Board allows professionals in SE Asia to research and compare market pay data based on a variety of factors such as job description, job title, skills, company and more, in an accurate way.

Salary Board believes accurate salary information should not be exclusive to the wealthy. It begins by providing an online service that helps professionals in Singapore research and compare market pay data based on job content, employee profile and company characteristics, in an accurate way.

Using machine learning and a large set of employer-reported data, they can analyse over 30 factors affecting pay to determine one’s worth in the market. The data, in turn, would become useful to improve further the compensation recommendations they give to organisations."
PROTONZ Technologies,https://e27.co/startups/protonz-technologies/,http://www.protonz.net/,India,"Design , Software as a Service, Agency & Consulting, Information & Communications Technology",2007-12-01,,3,http://www.twitter.com/AbdulMunawarhttps://www.facebook.com/PROTONZTechnologieshttp://www.linkedin.com/company/643059?trk=null,,,"PROTONZ is a Indian based Software and web development Company with diverse concepts and ideas, catering to meet the needs of","PROTONZ is a Indian based Software and web development Company with diverse concepts and ideas, catering to meet the needs of individuals and corporate. They aim to keep the Software and website development professional, clear and crisp, easy to navigate and quick to download. It is the appeal that captures the browser's attention and it is the content and functionality that keeps the attention. A good website design reinforces your message and delivers it with higher impact.

At PROTONZ it means to provide you with positive business results that push your business idea forward, higher, and faster that makes your competence want to catch up with you. Their IT services, business solutions, and outsourcing bring you definitely to a level of comfort and certainty to have made the right choice hard for other competitor to match.

PROTONZ Technologies Incorporated is a start-up company that will provide high-end, affordable Internet related services to small businesses that are looking to expand their existing marketing efforts to reach the Web. They have a system established that will allow us to offer website development, hosting, marketing, and maintenance of the same caliber that large companies take advantage of, at a very affordable rate."
MyCotra,https://e27.co/startups/mycotra/,http://www.mycotra.com/,India,,,,7,http://www.twitter.com/myCotrahttps://www.facebook.com/mycotra/https://www.linkedin.com/company/mycotra.com/,,,No ,No added Company description yet
Betravelo,https://e27.co/startups/betravelo/,http://www.betravelo.com/,Hong Kong,Travel,2019-02-01,,3,http://www.facebook.com/betravelohttps://www.linkedin.com/company/betravelo/,,,"Betravelo was founded because we are frustrated by the poor experience offered to business travelers today when booking, managing and expensing busines","Betravelo was founded because we are frustrated by the poor experience offered to business travelers today when booking, managing and expensing business trips. Business travelers either have to use outdated tools with a horrible UX, consumer platforms that are not designed for corporate travel, or rely on old school travel agents. We believe that there is a better way using modern technology.

We are building a travel tech platform that simplifies the entire business travel process while delighting employees with a great experience. We are using data, design, and great customer service to build a highly personalized, easy to use platform that allows companies to book, manage, track and expense business trips all in one place. This creates value for companies via higher productivity and financial savings while delighting employees, taking the pain out of business travel.

Business Travel is a huge industry globally, valued at over $1.3 Trillion and with employees going on over 500 million business trips per year. By solving this problem we aim to build a very large and valuable company while enabling the connections and relationships that allow businesses to grow and prosper.

To solve this problem, we have an ambitious and international team with a strong track record, including prior experience from successful startups in Asia and leading global companies. Betravelo's co-founders have previously worked in leading organizations such as Bain & Company, Microsoft, NASA, Moody’s, and Ctrip."
Mechcubei Solution Pvt.Ltd,https://e27.co/startups/mechcubei-solution-pvt-ltd/,https://www.mechcubei.com/,India,,,,7,http://www.twitter.com/mechcubeihttps://www.facebook.com/Mechcubei.Solution.Pvt.Ltdhttps://www.linkedin.com/company/14564262/admin/,,,Mechcubei is a growing software development company primarily based in India and USA. The pri,"Mechcubei is a growing software development company primarily based in India and USA. The prime focus of our organization is to deliver high-quality software development services at reasonable prices to our clients.

Our mission is in what we follow as the latest trend, where you don’t just meet the client’s expectation but you exceed the expectations of the client with exceptional service.

Services we offer, make sure our clients accomplish their business objective and goal. Our expertise in various domain gives us the opportunity to provide a wide variety of services which leads to our business growth. Since we stepped into the business, we have taken up both onshore and offshore projects and always enforced them with success with the given timeframe.

The things which we mainly focus on to achieve the goal is:
• VALUE OUR PEOPLE
• CLIENTS ARE OUR REFLECTION
• NEVER COMPROMISE IN QUALITY
• 24*7 UNCONDITIONAL SERVICES"
Graphics Zoo,https://e27.co/startups/graphics-zoo/,https://www.graphicszoo.com/,United States of America,,,,,https://www.facebook.com/graphicszoo1/,hello@graphicszoo.com.,,"If you are the unlimited graphics for your work or personal use, blindly rely on Graph","If you are the unlimited graphics for your work or personal use, blindly rely on Graphiczoo. We offer different kinds of graphics for your ultimate purpose. We offer you various services for your different needs like:
• Logo design
• Book cover
• Web design
• Shirt design and much more.
Need a customized design? Talk to your designer and send design requests in just a few minutes by simply answering some few questions. Indeed, if you are working on something big like advertisements approve the design as they come or merely ask for the change and your piece of mind to our creative designers. Trust our team of entrepreneurs who have struggled to offer you quality designs with a shoestring budget. So, don’t waste time and choose us for amazing designs available at decent prices without any contract. Chat with us now or drop a mail at hello@graphicszoo.com."
AirShr,https://e27.co/startups/airshr/,http://www.airshr.com.au/,Australia,"Media, Mobile, Information & Communications Technology",2014-03-01,,,http://www.twitter.com/AirShrhttp://www.facebook.com/AirShrhttps://www.linkedin.com/company/3585157,,,"AirShr Solves Two Problems
Listeners can’t remember what they hear on radio particularly when driving. And broadcasters and advertisers don’t know who’s listening to radio.

They've U","AirShr Solves Two Problems
Listeners can’t remember what they hear on radio particularly when driving. And broadcasters and advertisers don’t know who’s listening to radio.

They've Uncovered A Massive Unmet Need
They have validated what intuitively seems true, that drivers care enough about what they are listening to on radio to want to remember and interact with the content. Their two live prototype tests have shown that across AM/FM and digital radio, drivers used AirShr once per day and began to listen more actively to the radio in their cars. At its core this need is to support recall for people increasingly overwhelmed with information, media and tasks.

Significant Opportunity
90M people listen to radio in their car each week in the USA, UK & Australia.

Radio Broadcasters Are AirShr's Customers
With AirShr, radio broadcasters are now able to put a higher value on advertising inventory. For the first time they can show advertisers not only who was listening, but who was interested and who took advantage of a call-to-action. The value this can bring to advertisers is significant as they face a media landscape shifting to digital and struggle for mindshare as content sources proliferate.

AirShr helps broadcasters enhance the value of radio to marketers, by adding the benefits of digital marketing to the best qualities of broadcast radio. We have also proved that AirShr increases the value of radio to Listeners, by enriching their listening experience and letting them interact with radio. At any time, a listener can tune into any of their favourite stations and 'AirShr' any content that piqued their interest - talk, music, commercials or news and interact directly with the radio station by voting in a real-time poll.

AirShr's mission is to make life insanely simple to remember and it starts with radio."
yesHelper,https://e27.co/startups/yeshelper/,https://www.yeshelper.com/,Malaysia,"Human Resources, Enterprise Solution, Information & Communications Technology",2015-02-01,,,http://www.twitter.com/yesHelperhttps://www.facebook.com/yeshelperhttps://www.linkedin.com/company/yeshelper,,,yesHelper.com is a micro job (part time job) platform that matches tru,"yesHelper.com is a micro job (part time job) platform that matches trusted Malaysian Helpers with Customers who need their services.

yesHelper is a Malaysian startup. It does not employ the Helpers but provides a people's marketplace to match trusted Malaysian Helpers with Customers who need micro jobs (hourly paid jobs) done. They believe in building a local community to support and enhance the lives of the Helpers. In doing so, the Helpers can play a meaningful role in their society.

The first microjob vertical in place is home and small office cleaning. All Helpers can converse in English and Bahasa Malaysia. They provide training to upgrade their skill levels and have checked their backgrounds."
PasarPolis,https://e27.co/startups/pasarpolis/,http://www.pasarpolis.com/,Indonesia,Insurtech,,,,,,,PasarPolis.com is one of the first online portals in Indonesia that aims to provide convenience for the people of Indonesia in choos,"PasarPolis.com is one of the first online portals in Indonesia that aims to provide convenience for the people of Indonesia in choosing protection solutions for individuals and families.

Until now not many Indonesians are aware of the importance of using insurance services. Whereas many of the benefits we get from insurance include; protect family members after death or loss of one's income, provide certainty of debt payments after death, provide self-protection related to lawsuits and other benefits. And this is all you can get at PasarPolis.com

PasarPolis.com is the first online portal in Indonesia that aims to provide convenience for the people of Indonesia in choosing a protection solution for each individual and family.

We have worked with various insurance companies to provide protection options for health, vehicles, property, personal accident, life and travel. You simply fill in your personal data and click compare to get a variety of insurance options that suit their needs at competitive prices.

PasarPolis.com is also supported by a team of insurance specialists who can help customers to register, compare, claim, or answer other questions. With PasarPolis.com choosing and buying insurance is very simple and fast.

What are you waiting for?

Immediately compare the type of insurance you want now!"
UnitedPillShop pharmacy,https://e27.co/startups/unitedpillshop-pharmacy/,https://www.unitedpillshop.com/online-buy/fildena-100mg/,United States of America,,,,,,,,Hello I am Raelynn William start working with AllEdChemist Pharmacy specialists ,"Hello I am Raelynn William start working with AllEdChemist Pharmacy specialists in Erectile Dysfunction issues. Structured by Cenforce 150mg is to build the progression of blood to penis which makes it remarkable contrasted with different opiates for re-establishing the impotency and elevating the erection. To acknowledge magical depictions of lovemaking with your sweetheart, you should gobble up one <a href=""https://www.alledchemist.com/shop/buy-fildena-100/"">Fildena 100</a> mg tablet orally no short of what one hour before sex. There are a couple of outrageous challenges related with the usage of Cenforce 150mg, for instance, nausea, cerebral pain, vitality, off base vision, muscle delicacy, spinal pain facial flushing, blocked or runny nose, steamed stomach, and deferred and painful erection."
MoMark,https://e27.co/startups/momark/,http://www.momarkservices.com/,India,"Advertising, Mobile",,,23,https://www.facebook.com/MoMarkRewardshttps://www.linkedin.com/company/momark-services-pvt-ltd-?trk=tabs_biz_home,,,Momark is a mobile based marketing solution compan,"Momark is a mobile based marketing solution company. On one hand they help merchants attract, engage & retain customers and on the other, they provide customers with complete convenience of searching for merchants, exclusive deals & discounts. They enable your customer to earn and redeem reward points with the ease of a single tap on their mobile. Their leading edge technology and strong analytics engine gives you access to actionable data and analytics about your establishment and your customer."
Hishop,https://e27.co/startups/hishop/,http://www.hishop.my/,Malaysia,"E-commerce, Information & Communications Technology",2011-02-01,,,http://www.twitter.com/hishopmyhttps://www.facebook.com/hishopmyhttps://www.linkedin.com/company/hishop-malaysia-sdn-bhd,,,"HiShop Malaysia is an online store website that is rapidly growing among the e-commerce industry, focusing on supplying beauty products to consumers. HiShop Malaysia offers a wide range of beauty su","HiShop Malaysia is an online store website that is rapidly growing among the e-commerce industry, focusing on supplying beauty products to consumers. HiShop Malaysia offers a wide range of beauty supplies, from skin care, hair care, body care, to make-up and color cosmetics, to health food, as well as beauty tools and accessories. Currently, HiShop Malaysia carries almost 3500 products from close to 200 local and international brands. With over 100 categories of beauty products to choose from, HiShop even gave away 2 Free Samples to customers for any purchases made.

All brands that are selling under HiShop Malaysia are 100% guaranteed genuine and supplied directly from their authorized distributors. When you register with HiShop, you are entitled to many shopping privileges such as value discounts, loyalty rewards and more. Located at Damansara Perdana in Petaling Jaya, Selangor, HiShop Malaysia promises a delivery of products within 7 working days. Along with offering international delivery all around the globe, they also practices Cash-on-Delivery service to local customers in selected areas within Malaysia as well.

HiShop [ pronounced as hai-shop ] is an online beauty and cosmetics store. They only carry Genuine Products and they believe that beauty should be made accessible for everyone – anytime and anywhere. 100% of HiShop brands are genuine and sourced directly from the brand distributors. -

Together with our highly experienced beauty advisors, they strive to give you comprehensive access to your beauty choices and decisions at your fingertips. At HiShop, they provide you with Value, Variety and above all, a Beauty Community.

HiShop Malaysia Sdn Bhd is a company regulated under the laws of Malaysia. They operate in Malaysia and all their products comply with all the laws and regulations of Malaysia. They do not guarantee compliance with specific local laws, regulations or specifications under the local jurisdictions of individual customers."
360 & 5,https://e27.co/startups/360and5/,http://www.360and5.com/,Singapore,"Design , Information & Communications Technology",2013-06-01,,7,http://www.twitter.com/360and5http://www.facebook.com/360and5https://www.linkedin.com/company/360and5,,,Our expertise inclu,"Our expertise includes
• Brand conceptualisation and development
• Communications strategy and management
• Strategy consultation, development and management
• Design execution – print and web"
Ripple,https://e27.co/startups/ripple/,https://www.ripple.co.id/,Indonesia,"E-commerce, Finance, Mobile, Information & Communications Technology",,,1,https://www.linkedin.com/company/ripple-indonesia,,,Ripple is an integrated online pa,"Ripple is an integrated online payment gateway service. Ripple gives you an up to date view of your balances so you’re always in the know with your money.

Ripple Indonesia will present as a solution of integrated payment system through online payment gateway services which will allows everybody
to participate on global economic."
Fimosys,https://e27.co/startups/fimosys/,http://fimosys.com/,India,"Human Resources, Software as a Service",,,,,,,Fimosys – End to End HR management services is one in all the leading service provid,"Fimosys – End to End HR management services is one in all the leading service providers of payroll management in India with a record of over a thousand happy clients in Delhi, Gurgaon and all over India too.

Fimosys provides completely different End-to-End HR Management Services with the intent of serving to Startups, SMEs and huge organisations to line up best practices in HR management in India.

Services Offered by FimoSys are:-
-End to End HR Management Services
-Payroll management and Payroll Processing Services
-Statutory Compliance Services
-Staffing Solutions Services

So, if you’re looking forward to the most effective payroll processing or End to End HR management firms in Delhi, Gurgaon or other NCR areas and India, Fimosys is that the good solution relating to your seek for the solution of the all HR management activities."
Beevolve,https://e27.co/startups/beevolve/,http://www.beevolve.com/,India,"Big Data, Advertising, Software as a Service, Information & Communications Technology",2008-06-01,,1,http://www.twitter.com/beevolvehttps://www.facebook.com/beevolvehttp://www.linkedin.com/company/beevolve,,,Beevolve is a software product company founded in 2008. Their mission is to help companies make sense of large-sc,"Beevolve is a software product company founded in 2008. Their mission is to help companies make sense of large-scale data through distributed cloud computing and intelligent algorithms. They are committed to providing the best and most cost-effective social media monitoring and measurement platform for small businesses. The inspiration behind the name ‘Beevolve’ comes from the symbiotic relationship that bees have with flowering plants and how they have evolved together over thousands of years. Similarly, at Beevolve, they strive to build intelligent software products that learn from human interactions.

Beevolve's Social Media Monitoring and Insights platform helps agencies and brands track what people are saying about brands and products online. The analytics is used to deliver deep insights about products, brands, markets, consumers and trends.

Apart from Social Media Monitoring platform, Beevolve also runs a distributed and scalable crawler web service that launches robots in the cloud to crawl and extract information from websites. Clients have used Beevolve's Crawler Web Service to crawl millions of web pages."
TokoEdukasi,https://e27.co/startups/tokoedukasi/,http://www.tokoedukasi.com/,Indonesia,"Consumer, E-commerce, Retail",,,,http://www.twitter.com/tokoedukasihttps://www.facebook.com/Toko-Edukasi-1499472773612693/,,,"TokoEdukasi is the largest online shop center and the first in Indonesia specialized in providing a variety of educational equipment.

Tok","TokoEdukasi is the largest online shop center and the first in Indonesia specialized in providing a variety of educational equipment.

TokoEdukasi.com is the first and largest online store in Indonesia which specialized in providing all the needs in the field of education. We facilitate you to buy any product that you educate are divided into several categories namely: software, electronics, props, furniture, toys, school supplies, books, fashion and equipment extracurricular school.

With a collection of thousands of items that continues to grow every day, you are getting easier to get stuff good education for your children or for kebetuhan at your school. Information about all the products you want you can also get easily on our website for your convenience shop.
Product orders will we transfer to your home fast courier service with quality products that are the latest and greatest. Currently we only accept payment via bank transfer, but in the future we strive to continuously improve the channel of payment through credit card and pay on the spot (Cash on Delivery), we offer payment methods are certainly easier and safer for your convenience shopping.

TokoEdukasi.com business is managed by professional management and the best in its field. Under PT. Indocart Lintas Nusa, one WinnerTech group that has for decades been in the education industry in Indonesia."
Lexagle,https://e27.co/startups/lexagle/,,Singapore,,,,,,,,No ,No added Company description yet
Skin Aura Brain & Spine Neuro Center,https://e27.co/startups/skin-aura-brain-spine-neuro-center/,http://www.bestneurosurgeoningurgaon.com/,India,,2005-08-01,,,http://www.twitter.com/drvikaskathuriahttps://www.facebook.com/kathurianeurocentrehttps://in.linkedin.com/in/vikaskathu,,,We offer brain and spine surgeries a,"We offer brain and spine surgeries at Brain & Spine Neuro Center, Gurgaon. Brain & Spine Neuro Center has been developed to deliver world-leading private healthcare for patients who live in Gurgaon and its surrounding areas. We are specialized in Brain Tumor Surgery, Deep brain stimulation, Brain Hemorrhage treatment, Head Injury and Spine surgery In gurgaon."
Creative Hearts,https://e27.co/startups/creative-hearts/,http://creativehearts.com.au/,Australia,"E-commerce, Social Enterprise",,,2,http://www.twitter.com/creativehearts_https://www.linkedin.com/company/creative-hearts-group,,,"They source, coordinate and deliver suppli","They source, coordinate and deliver supplies for corporate, event companies, venues, hotels, bars & restaurants around Australia and abroad.

Be inspired by their on trend collection of food + event styling products. They source + sell the very best to WOW your guests! Their goal is to celebrate creativity through products and people and to reach millions of users around the globe! They believe creativity is for everyone!"
Learnyst,https://e27.co/startups/learnyst/,http://learnyst.com/,India,"E-commerce, Education, Mobile, Information & Communications Technology",2014-10-01,,20,http://www.twitter.com/Learnysthttp://www.facebook.com/learnysthttps://www.linkedin.com/company/learnyst,,,Learnyst helps educators build their own branded online school. With Do-It-Yourself websit,"Learnyst helps educators build their own branded online school. With Do-It-Yourself website builder you can build your online school with advanced learning tools in less than 10 mins. With Learnyst you can teach, sell and keep 100% of course revenue all under your own brand.

Its like Shopify for education. Using Learnyst educators are generating 30X revenue over investment without worrying about implementation or technology maintenance. With your branded Elearning site you can sell courses & your students can access your courses or assessments anytime anywhere. With Learnyst integrated LMS interface, you can upload course content in the form of videos, PDFs, PPTs and assessments. Some of the key features include - DIY website builder, adaptive video streaming, content hosting, assessment interface, content security, payment gateway integration, custom domain, mobile apps and student analytics."
LionsBot International,https://e27.co/startups/lionsbot-international/,https://www.lionsbot.com/,Singapore,Robotics,,,,,,,LionsBot International is a Singapore-based robotics company t,"LionsBot International is a Singapore-based robotics company that creates cleaning robots as a service for commercial, industrial and public spaces.

Our founders bring with them their expertise in cleaning and robotics; and transfer them to life in the form of highly versatile cleaning robots. Every piece of software and hardware is developed entirely by our engineers with pride. Our homegrown solutions offer you complete peace of mind as we know the ins and outs of our robots thoroughly.

We are guided by our vision to transform everyday living for over 50 million people with smart cleaning robots that people love."
ASADEL Technologies,https://e27.co/startups/asadel-technologies/,http://www.asadeltech.com/,India,"Big Data, Internet of Things",,,,http://www.twitter.com/asadeltechhttps://www.facebook.com/asadeltechhttps://www.linkedin.com/in/asadeltech,,,ASADEL Technologies is a technology platform with core philosophy to amalgam development of sustainable products and s,"ASADEL Technologies is a technology platform with core philosophy to amalgam development of sustainable products and services with value it creates & brings to lives of people it serves. And such developments are supported by ASADELTECH®’s inherent culture of continuous research, analysis and innovation. ASADELTECH® is committed to build technology and engineering solutions that would help usher convenience and add value to quality of lives of users. ASADELTECH® builds high-end state-of-the-art mobile, web and engineering solutions deploying future-ready technologies. It has been building innovative and state-of-the-art, user-friendly solutions in health and medical analytics, wearable devices for women and senior citizens, mobile Apps and smart solutions for urban societies and Governments with products like RxProbe® (a medical/health analytic platform), iSOSu™ (a safety app using cutting-edge technology, built in collaboration with a renowned Bulgarian partner) and many more. ASADELTECH® has a strategic tie-up with Passy Experience Limited, Sofia (Bulgaria) to build products and solutions that make significant positive impact on global society and its citizens."
Blue Divine Event Management,https://e27.co/startups/blue-divine-event-management/,http://www.bluedivineevents.com/,India,,,,,,,,,
Xamariners Pte Ltd,https://e27.co/startups/xamariners-pte-ltd/,http://xamariners.com/,Singapore,"Augmented Reality, Enterprise Solution, Internet of Things, Mobile, Software as a Service, Agency & Consulting, Virtual Reality",,,,,,,No ,No added Company description yet
Anak2U,https://e27.co/startups/anak2u/,http://www.anak2u.com.my/,Malaysia,Education,2019-02-01,,2,https://www.facebook.com/anak2uofficialhttps://www.linkedin.com/company/14525259/,,,"Anak2U aims to be an end-to-end early education platform, helping EEC (Ea","Anak2U aims to be an end-to-end early education platform, helping EEC (Early Education Childcare) owner from class and school management, administration works, billing and reporting to class preparation and child’s growth and performance tracking.

We provide a mobile application for teacher and parent to be able to share and receive updates on student’s activity, performance and school news, a School Management System to Kindergarten and Nursery owner, as well as complimentary school resources that can be used in class.

Our performance and tracking system at the moment is based on Malaysia Education framework, parent’s and teacher’s can be informed directly if their child has achieved the necessary benchmark based on their age."
Virtualance,https://e27.co/startups/virtualance/,http://www.virtualance.com/,Philippines,"Human Resources, Mobile, Agency & Consulting, Information & Communications Technology",2011-02-01,,,http://www.twitter.com/virtualance_comhttps://www.facebook.com/virtualance,,,Virtualance was founded by Judee Kimberly Rallos in 2011. It is a,"Virtualance was founded by Judee Kimberly Rallos in 2011. It is a multi-faceted business process outsourcing company with over 100 employees

Included in Virtualance would be a platform where outsourcing clients can browse through profiles of trained, highly qualified freelancers in a website and a mobile application. They will have access to personal recommendations, valid ids, etc to ensure that risks of scams are lessened, if not alleviated completely.

Another inclusion in the business model is putting up a training school for virtual workers to provide them with the knowledge and skills, as well as the certification to present to employers."
SmmDark,https://e27.co/startups/smmdark/,https://smmdark.com/,India,,,,,,,,,
Hitasoft Technologies,https://e27.co/startups/hitasoft-technologies/,http://hitasoft.com/,India,"Mobile, Software as a Service, Agency & Consulting, Information & Communications Technology",2008-08-01,,93,http://www.twitter.com/hitasofthttp://www.facebook.com/hitasofthttp://www.linkedin.com/company/hitasoft,,,Hitasoft is a fast growing website development and mobile application development company. They have more than 6 years experience in providing End-to-end,"Hitasoft is a fast growing website development and mobile application development company. They have more than 6 years experience in providing End-to-end IT solutions by engaging a team of IT experts and cutting edge technologies. Their team is comprised of experts who possess artistic and imaginative flair for design and apply the latest technologies in creating applications that make them deliver high-powered, functional web and mobile development products.
They have been offering innovative, unique internet application development and ecommerce solutions to their clients from the last 6 years. Within a short period, they have managed to develop an innovative and affordable ecommerce product that has been used their hundreds of clients all over the world to help them start a successful online business.

Hitasoft was established in the year 2009 with an aim to become the fastest emerging Offshore Outsourcing Company which will aid its clientele to benefit at maximum satisfaction.

They are a highly specialized Website Development Company offering cutting edge Web Development Services; they provide great quality web development with one of the best customer services. They offer superior customer service to the wide base of their clients. Their business-driven approach separates them from typical Web Design Companies.

Their goal is to establish long-term relationships with their clients. They combine raw skills with adequate research which enable them to produce results-driven solutions that satisfy their clients."
ZapStitch,https://e27.co/startups/zapstitch/,https://www.pipemonk.com/,India,"Enterprise Solution, Big Data, Advertising, Software as a Service",,,2,http://www.twitter.com/pipe_monkhttps://www.facebook.com/zapstitchhttps://www.linkedin.com/company/3254011?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A3254011%2Cidx%3A1-1-1%2CtarId%3A1444968194817%2Ctas%3Azapstitch,,,Pipemonk is a Cloud Data Integration pla,"Pipemonk is a Cloud Data Integration platform for businesses to automate data flow across cloud apps. Companies that use multiple cloud software use Pipemonk to connect and integrate data across various cloud software like Shopify, Xero, QuickBooks Online, Marketo, SalesForce etc. Pipemonk is designed to be used by non-tech user like a Marketing Professional, Sales Associate or an eCommerce Store Manager."
Wiki Creators Inc,https://e27.co/startups/wiki-creators-inc/,https://wikicreatorsinc.com/,United States of America,,,,,,,,,
Arihant Capital Markets Ltd,https://e27.co/startups/arihant-capital-markets-ltd/,https://arihantcapital.com/,India,,1992-02-01,,,http://www.twitter.com/ArihantCapitalhttps://www.facebook.com/arihantcapitalmarkets/,,,Arihant Capital Markets Limited is one of the ,"Arihant Capital Markets Limited is one of the leading financial services companies in India. We provide Online Stock Broker & Share Trading in India and gamut of products and services including equities, commodities, currency, financial planning, depository services, priority client group services (PCG), merchant banking and investment banking services to a substantial and diversified clientele that includes individuals, corporations and financial institutions."
Data Calibre,https://e27.co/startups/data-calibre/,http://www.datacalibre.com/,Malaysia,"Mobile, Software as a Service, Agency & Consulting",2006-02-01,,,http://www.twitter.com/datacalibrehttps://www.facebook.com/datacalibresbhttp://www.linkedin.com/company/data-calibre,,,"Established since 2006, Data Calibre has branched out from its core focus of enterprise appli","Established since 2006, Data Calibre has branched out from its core focus of enterprise applications to mobile apps, by integrating a team of mobile specialists to develop fully location aware, social applications for today’s smartphone using mobile customers. Their primary apps are on the iPhone and Android platform reaching a global customer base of over 45 million mobile customers. Based in KL, Malaysia, their applications are developed with an international focus. Their solutions start with small but original ideas which they turn in to practical solutions, that make an impact in their everyday lives.

Strategically located in i-City, Data Calibre is an MSC status company and one of the pioneers in mobile application development in Malaysia. Their teams consist of highly experienced experts, specialised in their fields, ranging from business analysis and development to mobile marketing and technology development."
Print a Wallpaper,https://e27.co/startups/print-a-wallpaper/,http://www.printawallpaper.com/,India,"Design , Software as a Service, Information & Communications Technology",,,,http://www.twitter.com/printawallpaperhttps://www.facebook.com/printawallpaper,,,"Print a Wallpaper - Choose from over 700 designs of wallpaper, in themes","Print a Wallpaper - Choose from over 700 designs of wallpaper, in themes spanning art, photography, zen, space, music or perhaps customize your own at the click of a button.

It takes a keen eye for detail to discover smart and sustainable décor solutions. Especially those that can infuse creativity and style at the click of a button.

Print a Wallpaper is a specialty online customized wallpapers store that’s been created for those discerning customers looking to breathe new life into their home and office interiors.

Their handpicked wallpaper designs go beyond standard patterns and mundane prints to encourage unique ideas, while the ease and convenience of ordering with them, makes for an equally unique experience."
itch,https://e27.co/startups/itch/,http://www.itch.me/,Singapore,"Media, Platform",2015-11-01,,,https://www.facebook.com/itch.fashionsocialkind/,,,"We’re our different bodies—with dissimilar preferences, of distinct personalities. We’re","We’re our different bodies—with dissimilar preferences, of distinct personalities. We’re not designed to fit just one prescribed trend every season, just as no one school of thought is subscribed by every human. We aren’t by-products of similar styles from different brands, seasons on end. We’re the diverse. We’re our own itching ideas, driven instinctively by creative impulses and curious desires. We’re our explorations of self-expressions and latent inspirations that beget choices—the onliest sentiments needed to reflect the code of fashion.

We’re not fashion’s perfect identity. We’re a free-form fashion collective.

We’re the next change of seasons.

Fashion 2.0: For fashion creatives, rebels & forward thinkers. Sign up on www.itch.me to fashion a revolution.

Watch Fashion 2.0:
https://www.youtube.com/watch?v=ZQ0x0sy-J3k&list=PLT5sPTI7ZP1xUDAonbGHVwE7899HvWC0S&index=1"
Intellipaat,https://e27.co/startups/intellipaat/,https://intellipaat.com/,India,,,,,,,,Intellipaat is an online e-learning and ,"Intellipaat is an online e-learning and professional certification company for software developers, IT administrators, Students, and other professionals, headquartered in Bangalore, Intellipaat is accredited best partners include IBM and Microsoft who provides 150 courses all latest technologies like Python, AWS, Artificial intelligence, blockchain, machine learning, big data, data science, cloud, etc."
Boom Boom Services Pvt Ltd,https://e27.co/startups/boom-boom-services-pvt-ltd/,https://www.boomboomhunt.com/,India,,,,,,,,,
Korbit,https://e27.co/startups/korbit/,http://korbit.co.kr/,South Korea,"Blockchain, Big Data, Finance",2013-08-01,,,http://www.twitter.com/KorbitBTChttp://www.facebook.com/korBTC,,,"Korbit (코빗) is a bitcoin exchange company based in Korea. Using bitcoin, users are able to exchange, buy, and sell on the","Korbit (코빗) is a bitcoin exchange company based in Korea. Using bitcoin, users are able to exchange, buy, and sell on the web.

Although we live in a world where borders are coming down and everything is seemingly being connected, there are still in many aspects of our lives that need disruption. In particular, financial services have imposed inconveniences and inefficiencies in the name of enhancing security and reducing fraud. Korbit’s mission is to enable the free flow of value by utilizing new technologies such as Bitcoin and the Blockchain. Starting with financial services, they are creating a world where individuals can transact with each other freely, without sacrificing security or convenience.

They believe in the power of technology to bring progress and development but foremost they believe in the value of a stable society and sustainable communities. Technology should be harnessed to not further only a small percentage of individuals but rather to better society itself. Korbit’s founders had previously devoted themselves to causes that benefited the public interest and at Korbit they continue to strive to contribute to the common good.

Korbit was established in July 2013 in Seoul, Korea."
Fonecare,https://e27.co/startups/fonecare/,http://www.phonecare.in/,India,,,,,,,,,
KICKICO,https://e27.co/startups/kickico/,https://www.kickico.com/,United States of America,,,,,http://www.twitter.com/KICKICOplatformhttps://www.facebook.com/kickicoplatform/https://www.linkedin.com/company-beta/11199886/,,,"KICKICO is a platform for safe and easy fundraising for ICO, preICO, crowdfunding and crowdinvesting. Ou","KICKICO is a platform for safe and easy fundraising for ICO, preICO, crowdfunding and crowdinvesting. Our goal is to create a platform that will not collapse the Ethereum blockchain in the case of a lot of raised funds, and to provide people from all over the world with an easy and convenient way to encourage investments in their projects.

Unlike many other similar projects that have entered the market recently, KICKICO is not another clone created without understanding the problems of the ICO and crowdfunding markets, the difficulties faced by authors, and the needs of investors or backers. KICKICO takes care of all difficulties that the authors will face when creating ICO campaigns and distributing their tokens, and relieves the crowdfunding project authors of bureaucracy and incredibly high fees. However, foremost, KICKICO is unique due to its economic system based on its own KickCoins cryptocurrency, designed to protect investors and backers from failed or fraudulent campaigns, as specified below, in the Crowdfunding section."
